9.949325395674636363e-01 5.067446505554189413e-03 1.392698228013786045e-08 1.807135610790928820e-45
2.069226404638336112e-08 9.999996887465131268e-01 2.905612230490248031e-07 1.403032801883770278e-17
9.394411925943817465e-01 5.930883414497013090e-02 1.249973260648134079e-03 5.379081894280042028e-30
9.635415479500538671e-01 3.645845165529569554e-02 3.946504621892405167e-10 2.991220594357357971e-87
9.083222611420214143e-01 9.151429489673711115e-02 1.634439612413599334e-04 3.086995790270307085e-77
7.434129341001958213e-01 1.169703221844627522e-01 1.396167437153414403e-01 2.517110736000052105e-22
4.354424200342597029e-01 5.642813705053780771e-01 2.762094603621010583e-04 1.680026695762963096e-37
8.934004214020070389e-01 3.744392694146969625e-02 6.915565165652315383e-02 3.334817758097357380e-45
2.788236476809993758e-01 7.171512439487179869e-01 4.025108370282718014e-03 6.560984495834913036e-33
5.971224918070797694e-01 3.547086608863436741e-01 4.816884730657659125e-02 1.598554641058105034e-45
6.288979466477261082e-02 1.717515687921053371e-04 9.369384532963681567e-01 4.700672491836052677e-10
9.065570859514442414e-01 1.105936673666072477e-02 8.238354731189512226e-02 7.065113958387464121e-44
2.124197778820894056e-01 8.355488004114544967e-03 7.792247329047069515e-01 1.209089105500893484e-09
9.807584937402471503e-01 4.581156153300662838e-08 1.924146044819133664e-02 1.791239934799799209e-51
9.991890036701434052e-01 2.722407751940844156e-04 5.387555546626404982e-04 6.706661624667863729e-96
8.430110350053542367e-01 2.061045268496006569e-02 1.361696761281215862e-01 2.088361815639617591e-04
2.046856136383785607e-01 3.052209075479663802e-01 4.900934788136551701e-01 2.118976564174312866e-36
2.662000977931158752e-01 7.331848632455146841e-01 6.150389613694058925e-04 4.257365185534650779e-45
9.999998449418395774e-01 1.550581557532690115e-07 4.681136866231303748e-15 2.087540342479966857e-143
6.978866166389645354e-02 8.266034493591564170e-01 1.969434416759749742e-02 8.391354480934955229e-02
3.683052150174569994e-01 6.301447672716675719e-01 1.550017710875495509e-03 5.796706130937911157e-85
6.663882853907675541e-01 3.336114101076944061e-01 3.045015378599386296e-07 2.634639935644582416e-36
8.804906031193066029e-01 1.195093968806934387e-01 1.702723344164889425e-21 2.342230971539525157e-24
9.123908765099320028e-01 2.109786457337745145e-03 7.507497676118176067e-12 8.549933702522283241e-02
9.976927805431862195e-01 1.780563529925741073e-03 5.266559268879149498e-04 1.668363105217818680e-37
2.625511242641635490e-01 9.256462331409908220e-03 7.281924134044265307e-01 8.711870366414619192e-58
9.857525889300843280e-01 2.093720105415517764e-03 1.215369096450001629e-02 2.368161603864752190e-83
8.983164300160995097e-01 1.016835699839004625e-01 5.605315107571549333e-19 8.999892501517587806e-49
9.191408190674185130e-01 7.729282817330522526e-02 3.566352759276255214e-03 2.776261180430386611e-22
8.655660275878337417e-01 3.560372506468178285e-04 1.340779351615191683e-01 7.813448531970922039e-17
9.875580995557782238e-01 1.244183781736694742e-02 6.262685495390454542e-08 3.625141729447334607e-53
9.388876430573375176e-01 4.186804837936904805e-02 1.924430856329337192e-02 9.907992085448843103e-189
